Datetime,Open,High,Low,Close,Adj Close,Volume
2023-01-31 00:00:00-05:00,1919.699951171875,1935.5999755859375,1919.699951171875,1935.4000244140625,1935.4000244140625,0
2023-01-31 00:01:00-05:00,1935.4000244140625,1935.4000244140625,1935.0999755859375,1935.0999755859375,1935.0999755859375,54
2023-01-31 00:02:00-05:00,1935.0999755859375,1935.300048828125,1935.0999755859375,1935.300048828125,1935.300048828125,66
2023-01-31 00:03:00-05:00,1935.5,1936.0999755859375,1935.4000244140625,1935.800048828125,1935.800048828125,83
2023-01-31 00:04:00-05:00,1935.800048828125,1935.800048828125,1935.4000244140625,1935.5999755859375,1935.5999755859375,35
2023-01-31 00:05:00-05:00,1935.699951171875,1935.699951171875,1935.4000244140625,1935.4000244140625,1935.4000244140625,4
2023-01-31 00:06:00-05:00,1935.4000244140625,1935.4000244140625,1935.0999755859375,1935.4000244140625,1935.4000244140625,45
2023-01-31 00:07:00-05:00,1935.4000244140625,1935.4000244140625,1935.0,1935.0,1935.0,23
2023-01-31 00:08:00-05:00,1935.0,1935.0,1934.800048828125,1934.800048828125,1934.800048828125,40
2023-01-31 00:09:00-05:00,1934.800048828125,1935.0,1934.699951171875,1934.9000244140625,1934.9000244140625,19
2023-01-31 00:10:00-05:00,1934.9000244140625,1935.0999755859375,1934.9000244140625,1934.9000244140625,1934.9000244140625,33
2023-01-31 00:11:00-05:00,1934.9000244140625,1935.0999755859375,1934.9000244140625,1934.9000244140625,1934.9000244140625,8
2023-01-31 00:12:00-05:00,1935.0999755859375,1935.199951171875,1935.0999755859375,1935.0999755859375,1935.0999755859375,18
2023-01-31 00:13:00-05:00,1935.199951171875,1935.300048828125,1935.0,1935.199951171875,1935.199951171875,17
2023-01-31 00:14:00-05:00,1935.0999755859375,1935.199951171875,1935.0999755859375,1935.199951171875,1935.199951171875,6
2023-01-31 00:15:00-05:00,1935.0999755859375,1935.199951171875,1935.0,1935.0,1935.0,14
2023-01-31 00:16:00-05:00,1935.0999755859375,1936.0,1935.0999755859375,1935.5999755859375,1935.5999755859375,468
2023-01-31 00:17:00-05:00,1935.699951171875,1935.800048828125,1935.4000244140625,1935.5999755859375,1935.5999755859375,50
2023-01-31 00:18:00-05:00,1935.5999755859375,1935.699951171875,1934.699951171875,1935.0,1935.0,257
2023-01-31 00:19:00-05:00,1935.0,1935.5,1919.5,1934.9000244140625,1934.9000244140625,134
